Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;03/2020;5.336.471;4.817.815;0;445.432;0;0;0;0;69.716;0;3.507;0;0;0;0;0;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;03/2020;5.238.393;81.288;0;0;0;910.826;0;2.541.754;0;0;0;1.235.202;0;0;0;0;469.323
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;03/2020;5.141.155;2.441.010;317.667;0;0;0;2.376.026;5.547;0;0;0;0;0;0;0;906;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2020;5.108.985;4.235.279;101.413;0;0;0;154.376;586.864;5.147;0;0;225;0;0;0;1.364;24.315
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;03/2020;4.500.738;2.758.445;560.228;21.794;4.495;0;2.218;1.041.895;0;0;1.134;0;0;0;49.806;186;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;03/2020;4.497.462;4.452.967;0;0;0;0;0;0;0;0;0;0;0;0;0;44.494;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;03/2020;4.469.159;1.410.892;103.614;1.061.262;0;0;131;2.936;644.805;6.505;218.800;95.452;0;11.124;913.638;0;0
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;03/2020;4.371.138;385.514;0;0;0;0;3.060;2.145.913;0;0;0;8.452;0;29.405;353.593;0;1.445.202
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;03/2020;4.362.784;4.362.783;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;03/2020;4.290.628;313.610;0;0;0;0;0;157.671;0;3.819.347;0;0;0;0;0;0;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;03/2020;4.212.256;4.212.240;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;03/2020;4.083.024;4.044.042;0;0;0;0;1.515;17.257;0;0;19.372;0;0;0;0;838;0
SCAA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;03/2020;4.039.774;4.039.774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;03/2020;3.909.391;1.239.834;0;0;0;0;0;2.409.963;0;0;0;31.801;0;0;149.933;24;77.836
BANCO DA AMAZOA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2020;3.591.041;1.950.944;368.432;70.126;0;0;457.535;569.624;97.743;355;6.996;0;0;0;69.267;19;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;03/2020;3.505.918;2.883.553;210.685;1.372;0;0;0;409.940;0;0;0;0;0;0;0;368;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;03/2020;3.480.418;2.403.158;6.529;1.178;0;0;0;1.069.400;147;0;0;0;0;0;0;6;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;03/2020;3.438.712;209.448;0;0;0;0;0;721.645;0;0;0;0;0;0;2.507.620;0;0
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;03/2020;3.431.112;1.578.633;0;22.656;0;0;12.710;1.356.793;8.169;0;10.904;86.452;0;0;284.706;1;70.088
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;03/2020;3.334.930;2.164.300;0;0;0;0;0;1.170.630;0;0;0;0;0;0;0;0;0
OM;50.940;b1;C;2;S4;199;SAO PAULO;SP;03/2020;3.325.566;3.320.613;0;0;0;0;0;0;0;0;0;0;0;0;0;4.953;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;03/2020;3.245.310;3.204.057;0;0;0;0;0;0;0;0;0;0;0;0;0;41.252;0
